Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth
Albion Park,2527,525000,2016,6
Albion Park Rail,2527,525000,2016,6
Badgerys Creek,2555,695000,2016,6
Barrack Heights,2528,525000,2016,6
Barrack Point,,525000,2016,6
Belimbla Park,2570,680000,2016,6
Belmont,2280,471000,2016,6
Bickley Vale,2570,700000,2016,6
Bilpin,2758,635000,2016,6
Blackbutt,2529,525000,2016,6
Blaxlands Ridge,2758,635000,2016,6
Brownlow Hill,2570,680000,2016,6
Camden,2570,700000,2016,6
Camden Park,2570,680000,2016,6
Camden South,2570,700000,2016,6
Cardiff,2285,471000,2016,6
Carlton,2218,880000,2016,6
Catherine Hill Bay,2281,471000,2016,6
Caves Beach,,471000,2016,6
Cawdor,2570,680000,2016,6
Charlestown,2290,471000,2016,6
Clovelly,2031,1100000,2016,6
Cobbitty,2570,700000,2016,6
Couridjah,2571,680000,2016,6
Croom,2527,525000,2016,6
Dunmore,2529,525000,2016,6
East Kurrajong,2758,635000,2016,6
Elderslie,2570,700000,2016,6
Ellis Lane,2570,700000,2016,6
Fern Bay,2295,449000,2016,6
Flinders,2529,525000,2016,6
Glen Oak,2320,449000,2016,6
Glendale,2285,471000,2016,6
Glenmore,2570,680000,2016,6
Grasmere,2570,700000,2016,6
Hinton,2321,449000,2016,6
Kingsgrove,2208,760000,2016,6
Kirkham,2570,700000,2016,6
Kurrajong,2758,635000,2016,6
Kurrajong Heights,2758,635000,2016,6
Kurrajong Hills,2758,635000,2016,6
Lake Illawarra,2528,525000,2016,6
Leets Vale,2775,1089000,2016,6
Maldon,2571,680000,2016,6
Mount Hunter,2570,680000,2016,6
Mount Hutton,2290,471000,2016,6
Mount Pritchard,2170,700000,2016,6
Mount Warrigal,2528,525000,2016,6
Mountain Lagoon,2758,635000,2016,6
Mowbray Park,2571,680000,2016,6
Mulbring,2323,316000,2016,6
Nattai,2570,680000,2016,6
North Macquarie,2527,525000,2016,6
Oakdale,2570,680000,2016,6
Oran Park,2570,700000,2016,6
Orangeville,2570,680000,2016,6
Picton,2571,680000,2016,6
Prospect,2148,632000,2016,6
Razorback,2571,680000,2016,6
Redhead,2290,471000,2016,6
Riverstone,2765,632000,2016,6
Rose Bay,2029,1200000,2016,6
Rouse Hill,2155,1089000,2016,6
Shell Cove,2529,525000,2016,6
Shellharbour,2529,525000,2016,6
Shellharbour City Centre,2529,525000,2016,6
Spring Farm,2570,700000,2016,6
St Leonards,2065,1050000,2016,6
St Marys,2760,589000,2016,6
Swansea,2281,471000,2016,6
The Devils Wilderness,2758,578000,2016,6
The Oaks,2570,680000,2016,6
Theresa Park,2570,680000,2016,6
Tongarra,2527,525000,2016,6
Toongabbie,2146,708000,2016,6
Toronto,2283,471000,2016,6
Tullimbar,2527,525000,2016,6
Vaucluse,,1200000,2016,6
Vineyard,2765,632000,2016,6
Wallalong,2320,449000,2016,6
Warilla,2528,525000,2016,6
Warners Bay,,471000,2016,6
Werombi,2570,680000,2016,6
Wilton,2571,680000,2016,6
Winston Hills,2153,720000,2016,6
Wisemans Ferry,2775,635000,2016,6
Yallah,2530,595000,2016,6
Agnes Banks,2753,612000,2016,6
Annandale,2038,1127000,2016,6
Baulkham Hills,2153,904500,2016,6
Berambing,2758,606500,2016,6
Butterwick,2321,433000,2016,6
Buxton,2571,629000,2016,6
Calderwood,2527,560000,2016,6
Camperdown,2050,957500,2016,6
Cattai,2756,862000,2016,6
Cecil Park,2178,697500,2016,6
Central Mangrove,2250,540000,2016,6
Chatswood West,2067,1253000,2016,6
Chester Hill,2162,764000,2016,6
Denham Court,2565,620000,2016,6
Duns Creek,2321,433000,2016,6
Holroyd,2142,714000,2016,6
Ingleside,2101,1213000,2016,6
Kemps Creek,2178,642000,2016,6
Kulnura,2250,540000,2016,6
Lane Cove North,2066,1160500,2016,6
Leppington,2179,697500,2016,6
Lidcombe,2141,714000,2016,6
Lower Portland,2756,862000,2016,6
Luddenham,2745,642000,2016,6
Maraylya,2765,862000,2016,6
Mays Hill,2145,714000,2016,6
Narrabeen,2101,1213000,2016,6
Narwee,2209,736500,2016,6
Newtown,2042,957500,2016,6
North Rocks,2151,904500,2016,6
Oak Flats,2529,560000,2016,6
Paddington,2021,1319500,2016,6
Pendle Hill,2145,714000,2016,6
Regents Park,2143,764000,2016,6
Riverwood,2210,736500,2016,6
Rosebery,2018,895500,2016,6
Roseville,2069,1543000,2016,6
Smithfield,2164,704000,2016,6
Sydney Olympic Park,2127,714000,2016,6
Villawood,2163,760000,2016,6
Wallacia,2745,642000,2016,6
Wentworthville,2145,714000,2016,6
Westmead,2145,714000,2016,6
Woodville,2321,433000,2016,6
Yellow Rock,2527,560000,2016,6
Yennora,2161,704000,2016,6
Homebush West,2140,715000,2016,6
Oatley,2223,773000,2016,6
Abbotsbury,2176,700000,2016,6
Abbotsford,2046,1006000,2016,6
Aberdare,2325,316000,2016,6
Aberglasslyn,2320,417000,2016,6
Abermain,2326,316000,2016,6
Acacia Gardens,2763,632000,2016,6
Adamstown,2289,491000,2016,6
Adamstown Heights,2289,491000,2016,6
Airds,2560,545000,2016,6
