City,Suburb,Median,UpdatedYear,UpdatedMonth
Perth,Alexander Heights,415000,2018,4
Perth,Alfred Cove,747500,2018,4
Perth,Alkimos,400000,2018,4
Perth,Anketell,,2018,4
Perth,Applecross,1600000,2018,4
Perth,Ardross,1000000,2018,4
Perth,Armadale,260000,2018,4
Perth,Ascot,660000,2018,4
Perth,Ashby,460000,2018,4
Perth,Ashfield,475000,2018,4
Perth,Attadale,1147500,2018,4
Perth,Atwell,520000,2018,4
Perth,Aubin Grove,550000,2018,4
Perth,Aveley,461250,2018,4
Perth,Bailup,,2018,4
Perth,Balcatta,496250,2018,4
Perth,Baldivis,405000,2018,4
Perth,Balga,335000,2018,4
Perth,Ballajura,425000,2018,4
Perth,Banjup,540000,2018,4
Perth,Banksia Grove,400000,2018,4
Perth,Baskerville,,2018,4
Perth,Bassendean,515000,2018,4
Perth,Bateman,718500,2018,4
Perth,Bayswater,570000,2018,4
Perth,Beaconsfield,683500,2018,4
Perth,Beckenham,400000,2018,4
Perth,Bedford,631000,2018,4
Perth,Bedfordale,693000,2018,4
Perth,Beechboro,375000,2018,4
Perth,Beechina,,2018,4
Perth,Beeliar,501000,2018,4
Perth,Beldon,460000,2018,4
Perth,Belhus,,2018,4
Perth,Bellevue,387500,2018,4
Perth,Belmont,450000,2018,4
Perth,Bennett Springs,453000,2018,4
Perth,Bentley,470000,2018,4
Perth,Bertram,382000,2018,4
Perth,Bibra Lake,541500,2018,4
Perth,Bickley,625000,2018,4
Perth,Bicton,1050000,2018,4
Perth,Booragoon,830000,2018,4
Perth,Boya,585000,2018,4
Perth,Brabham,400000,2018,4
Perth,Brentwood,645000,2018,4
Perth,Brigadoon,,2018,4
Perth,Brookdale,290000,2018,4
Perth,Bull Creek,700000,2018,4
Perth,Bullsbrook,350000,2018,4
Perth,Burns Beach,827000,2018,4
Perth,Burswood,614000,2018,4
Perth,Bushmead,,2018,4
Perth,Butler,400000,2018,4
Perth,Byford,410000,2018,4
Perth,Calista,280000,2018,4
Perth,Camillo,270000,2018,4
Perth,Canning Mills,,2018,4
Perth,Canning Vale,560000,2018,4
Perth,Cannington,405000,2018,4
Perth,Carabooda,,2018,4
Perth,Cardup,795000,2018,4
Perth,Carine,767500,2018,4
Perth,Carlisle,510000,2018,4
Perth,Carmel,638750,2018,4
Perth,Carramar,516500,2018,4
Perth,Casuarina,881200,2018,4
Perth,Caversham,440000,2018,4
Perth,Challenger,,2018,4
Perth,Champion Lakes,425000,2018,4
Perth,Chidlow,399000,2018,4
Perth,Churchlands,1350000,2018,4
Perth,City Beach,1781000,2018,4
Perth,Claremont,1325000,2018,4
Perth,Clarence,,2018,4
Perth,Clarkson,392000,2018,4
Perth,Cloverdale,435000,2018,4
Perth,Cockburn Central,663500,2018,4
Perth,Como,905000,2018,4
Perth,Connolly,650000,2018,4
Perth,Coogee,820000,2018,4
Perth,Coolbellup,443500,2018,4
Perth,Coolbinia,1115000,2018,4
Perth,Cooloongup,287000,2018,4
Perth,Cottesloe,2127500,2018,4
Perth,Craigie,430000,2018,4
Perth,Crawley,927500,2018,4
Perth,Currambine,539000,2018,4
Perth,Daglish,1047500,2018,4
Perth,Dalkeith,2575000,2018,4
Perth,Darch,545000,2018,4
Perth,Darling Downs,485000,2018,4
Perth,Darlington,580000,2018,4
Perth,Dayton,474000,2018,4
Perth,Dianella,600000,2018,4
Perth,Doubleview,715000,2018,4
Perth,Duncraig,685000,2018,4
Perth,East Cannington,477500,2018,4
Perth,East Fremantle,1100000,2018,4
Perth,East Perth,1100000,2018,4
Perth,East Rockingham,,2018,4
Perth,East Victoria Park,635000,2018,4
Perth,Eden Hill,407500,2018,4
Perth,Edgewater,491000,2018,4
Perth,Eglinton,424000,2018,4
Perth,Ellenbrook,389000,2018,4
Perth,Embleton,480000,2018,4
Perth,Ferndale,420000,2018,4
Perth,Floreat,1283500,2018,4
Perth,Forrestdale,387500,2018,4
