stop_id,stop_name,stop_lat,stop_long,mode,state code
,Aberdeen Macqueen St Stairs,-32.16689969,150.8919751,train,NSW
,Aberdeen Macqueen St Ramp,-32.16688641,150.8919573,train,NSW
,Adamstown Park Ave Path,-32.9337056,151.7204518,train,NSW
,Adamstown St James Rd Stairs,-32.93341396,151.7203632,train,NSW
,Adamstown St James Rd Ramp,-32.93340162,151.7203474,train,NSW
,Adamstown Park Ave Path,-32.93382729,151.7202364,train,NSW
,Albion Park Burroo St Ramp,-34.56340933,150.79939,train,NSW
,Albion Park Princes Hwy Ramp,-34.56350712,150.7991893,train,NSW
,Albion Park Princes Hwy Stairs,-34.56293995,150.798574,train,NSW
,Albion Park Princes Hwy Ramp,-34.56278202,150.7984185,train,NSW
,Allawah Railway Pde Ramp,-33.96996874,151.1149448,train,NSW
,Allawah Roberts Lane Ramp,-33.96953727,151.1146945,train,NSW
,Allawah Roberts Lane Stairs,-33.96949011,151.1145667,train,NSW
,Allawah Railway Pde Lift,-33.96987782,151.1144352,train,NSW
,Allawah Railway Pde Ramp,-33.96988689,151.1142405,train,NSW
,Arlington LR Grove St Path,-33.9020453,151.1381593,train,NSW
,Arlington LR Constitution Rd Path,-33.9020497,151.1380434,train,NSW
,Arncliffe The Arcade  Stairs,-33.93692447,151.1474278,train,NSW
,Arncliffe The Arcade  Lift,-33.93696302,151.1474227,train,NSW
,Arncliffe Firth St Lift,-33.93677457,151.1468602,train,NSW
,Arncliffe Firth St Stairs,-33.93671781,151.1468509,train,NSW
,Artarmon Valetta Lane Ramp,-33.80823377,151.1847419,train,NSW
,Artarmon Hampden Rd Lift,-33.80875941,151.1847201,train,NSW
,Artarmon Hampden Rd Stairs,-33.80854065,151.1844285,train,NSW
,Ashfield Station St Lift,-33.88744211,151.1259581,train,NSW
,Ashfield Station St Stairs,-33.88739665,151.1258025,train,NSW
,Ashfield Brown St Lift,-33.88789161,151.1257974,train,NSW
,Ashfield Brown  St Stairs,-33.887775,151.1255397,train,NSW
,Asquith Haldane St Path,-33.68869132,151.1082656,train,NSW
,Asquith Pacific Hwy Ramp,-33.68848916,151.1079991,train,NSW
,Auburn Rawson St Ramp,-33.8492876,151.0332914,train,NSW
,Auburn South Pde Stairs,-33.849663,151.0329192,train,NSW
,Auburn South Pde Ramp,-33.84946375,151.0327209,train,NSW
,Austinmer Gilchrist St Path,-34.3065205,150.9293511,train,NSW
,Austinmer Railway Ave Path,-34.30650136,150.9289071,train,NSW
,Awaba Adelaide St Ramp,-33.0129167,151.5421589,train,NSW
,Awaba Adelaide St Path,-33.01291676,151.5421328,train,NSW
,Awaba Wilton Rd Ramp,-33.01310914,151.5420747,train,NSW
,Banksia Hattersley St Ramp,-33.94490035,151.140849,train,NSW
,Banksia Railway St Ramp,-33.94479129,151.1404987,train,NSW
,Banksia Railway St Stairs,-33.94488347,151.1404482,train,NSW
,Bankstown North Tce Ramp,-33.91768635,151.0342697,train,NSW
,Bankstown Bankstown City Plza Path,-33.91805216,151.03411,train,NSW
,Bankstown Bankstown City Plza Path,-33.91778824,151.0337625,train,NSW
,Bardwell Park Hartill Law Ave Stairs,-33.93137824,151.125379,train,NSW
,Bargo Great Southern Rd Path,-34.29097858,150.5801756,train,NSW
,Bargo Great Southern Rd Ramp,-34.29098411,150.5801501,train,NSW
,Bargo Railside Ave Ramp,-34.29100778,150.5800205,train,NSW
,Bargo Railside Ave Path,-34.29104476,150.5800077,train,NSW
,Beecroft Sutherland Rd Path,-33.74921627,151.0667339,train,NSW
,Beecroft Wongala Cres Path,-33.74904472,151.0663377,train,NSW
,Beecroft Wongala Cres Path,-33.74923381,151.0662247,train,NSW
,Bell Sandham  Rd Ramp,-33.5061656,150.2793612,train,NSW
,Bell Chiefley Rd Stairs,-33.50623435,150.2790794,train,NSW
,Bellambi Bellambi Lane Ramp,-34.36261281,150.9101311,train,NSW
,Belmore Burwood Rd Lift,-33.91724884,151.0883372,train,NSW
,Belmore Burwood Rd Stairs,-33.91722736,151.0883244,train,NSW
,Berala Campbell St Path,-33.8719773,151.0328288,train,NSW
,Berala Woodburn Rd Path,-33.87139384,151.0323272,train,NSW
