stop_id,stop_name,stop_lat,stop_lon,mode,STATE CODE
OOBUS003,Casuarina Interchange,-12.37345,130.88048,bus,NT
OOBUS004,Trower 004,-12.36928,130.88298,bus,NT
OOBUS005,Delamere 005,-12.36686,130.88125,bus,NT
OOBUS006,Willaroo 006,-12.36489,130.88419,bus,NT
OOBUS007,Henbury 007,-12.36167,130.88571,bus,NT
OOBUS008,Private Hospital 008,-12.35859,130.88279,bus,NT
OOBUS009,Hospital Precinct,-12.35611,130.8826,bus,NT
OOBUS010,Rocklands 100,-12.35932,130.88215,bus,NT
OOBUS011,10 Manbulloo 011,-12.36049,130.88033,bus,NT
OOBUS012,Tiwi Shops,-12.36224,130.87688,bus,NT
OOBUS013,Erldunda 013,-12.3653,130.87611,bus,NT
OOBUS014,Trower 014,-12.3653,130.8729,bus,NT
OOBUS015,Omeo Street,-12.36703,130.87133,bus,NT
OOBUS016,Ellengowen 016,-12.36669,130.87389,bus,NT
OOBUS017,Nakara Shops,-12.36946,130.87567,bus,NT
OOBUS018,Buchanan 018,-12.37168,130.87473,bus,NT
OOBUS019,Ellengowen CDU 019,-12.37247,130.87245,bus,NT
OOBUS020,Dripstone 020,-12.37372,130.87382,bus,NT
OOBUS021,Nungalinya College 021,-12.37525,130.87577,bus,NT
OOBUS023,Swimming Pool 023,-12.37355,130.88519,bus,NT
OOBUS024,Gsell 024,-12.37053,130.8863,bus,NT
OOBUS025,Tambling 025,-12.36611,130.88937,bus,NT
OOBUS026,Wanguri Shops 026,-12.36905,130.88948,bus,NT
OOBUS027,Canaris 027,-12.37077,130.89061,bus,NT
OOBUS028,Lee Point 028,-12.3698,130.89171,bus,NT
OOBUS029,VRD 028,-12.36887,130.89305,bus,NT
OOBUS030,VRD 030,-12.37057,130.89694,bus,NT
OOBUS031,Leanyer 031,-12.37224,130.89856,bus,NT
OOBUS032,Leanyer 032,-12.37259,130.89961,bus,NT
OOBUS033,Leanyer Primary School,-12.37546,130.90056,bus,NT
OOBUS034,Leanyer 034,-12.37807,130.90195,bus,NT
OOBUS035,Leanyer 035,-12.38021,130.90349,bus,NT
OOBUS036,Leanyer Drive,-12.38209,130.90253,bus,NT
OOBUS037,Vanderlin 037,-12.38362,130.90264,bus,NT
OOBUS038,Patterson 038,-12.3867,130.9034,bus,NT
OOBUS039,Wulagi 039,-12.38476,130.89948,bus,NT
OOBUS040,Wulagi Shops,-12.38389,130.89401,bus,NT
OOBUS041,Jabiru 041,-12.38156,130.89429,bus,NT
OOBUS042,Jabiru 042,-12.3808,130.89132,bus,NT
OOBUS043,Wagaman Shops,-12.38028,130.88681,bus,NT
OOBUS044,Wagaman 044,-12.37962,130.88369,bus,NT
OOBUS045,Limmen 045,-12.37961,130.88192,bus,NT
OOBUS046,Trower 046,-12.37377,130.88326,bus,NT
OOBUS047,Scaturchio 047,-12.37209,130.88206,bus,NT
OOBUS049,Alawa Crescent,-12.38043,130.88066,bus,NT
OOBUS050,Casuarina Senior College,-12.38232,130.87852,bus,NT
OOBUS051,Trower 051,-12.38306,130.8748,bus,NT
OOBUS052,Jingili 052,-12.38428,130.87368,bus,NT
OOBUS053,Jingili School,-12.38662,130.8733,bus,NT
OOBUS054,Jingili Shops,-12.38947,130.87498,bus,NT
OOBUS055,Scales 055,-12.39009,130.87885,bus,NT
OOBUS056,Moil Shops,-12.39116,130.88178,bus,NT
OOBUS057,Lee Point 057,-12.39072,130.88404,bus,NT
OOBUS058,Yanyula 058,-12.38983,130.88726,bus,NT
OOBUS059,Anula Shops,-12.39238,130.89095,bus,NT
OOBUS060,Springhill 060,-12.39195,130.89488,bus,NT
OOBUS061,Sanderson High School,-12.39021,130.89655,bus,NT
OOBUS062,Union 062,-12.38836,130.89583,bus,NT
OOBUS063,Union 063,-12.38772,130.89312,bus,NT
OOBUS064,Union 064,-12.38608,130.89021,bus,NT
OOBUS065,Parer 065,-12.38577,130.88542,bus,NT
OOBUS066,Parer 066,-12.38397,130.88229,bus,NT
OOBUS067,Parer 067,-12.38297,130.88094,bus,NT
OOBUS068,Trower 068,-12.37976,130.88098,bus,NT
OOBUS069,Darwin Interchange,-12.46484,130.8444,bus,NT
OOBUS070,Woolworths Darwin,-12.46016,130.8406,bus,NT
OOBUS071,St Mary's,-12.4587,130.83907,bus,NT
OOBUS072,Cavenagh 072,-12.45751,130.83778,bus,NT
OOBUS073,Mitchell St Child Care 121,-12.4576,130.83403,bus,NT
OOBUS074,Mitchell 074,-12.45537,130.83175,bus,NT
OOBUS075,Mitchell 075,-12.45371,130.83005,bus,NT
OOBUS076,Gilruth Ave/Casino,-12.44938,130.83169,bus,NT
OOBUS077,Mindil Beach outbound,-12.44589,130.83336,bus,NT
OOBUS078,East Point Road,-12.43537,130.83785,bus,NT
OOBUS079,Sailing Club,-12.43073,130.8371,bus,NT
OOBUS080,Fannie Bay,-12.42448,130.83999,bus,NT
