stop_id,stop_name,stop_lon,stop_lat,mode,STATE CODE
BS140,Hill St (1272),15427358.7,-4151093.928,bus,SA
BS141,North Tce Dsc (1364),15429963,-4153136.737,bus,SA
BS142,North Tce Dsc (1364),15430015.93,-4153133.594,bus,SA
BS143,Ward St (1493),15427939.78,-4151622.329,bus,SA
BS145,Hill St (1272),15427536.37,-4151696.962,bus,SA
BS146,Park 26 - Tarntanya Wama (5264),15428621.77,-4152092.984,bus,SA
BS147,Park 13 - Rundle (5133),15430417.11,-4153064.315,bus,SA
BS148,North Tce Dsc (1364),15430045.59,-4153123.403,bus,SA
BS149,Jeffcott_St (2073),15428033.88,-4151555.628,bus,SA
BS150,Park 01 - Golf Links (5016),15427650.98,-4150375.085,bus,SA
BS151,Park 02 - Pardipardinyilla (5022),15427680.98,-4150403.077,bus,SA
BS152,Melbourne St (1336),15429075.79,-4151689.865,bus,SA
BS153,Park 13 - Rundle (5133),15430106.7,-4153312.65,bus,SA
BS154,Park 23 - Wirrarninthi (5231),15427090.12,-4155835.065,bus,SA
BS155,Park 22 - Wikaparntu Wirra (5223),15427125.78,-4155869.508,bus,SA
BS156,Hutt St (1286),15430240.71,-4154733.014,bus,SA
BS157,Park 12 - Karrawirra (5125),15428960.89,-4152047.382,bus,SA
BS158,Sir Edwin Smith Ave (1432),15428942.17,-4152013.976,bus,SA
BS159,Sturt_St (2078),15427775.67,-4154852.435,bus,SA
BS160,Park 12 - Karrawirra (5125),15429413.06,-4152276.157,bus,SA
BS161,Park 26 - Tarntanya Wama (5264),15428720.4,-4152235.484,bus,SA
BS162,North Tce Dsc (1364),15430010.18,-4153169.817,bus,SA
BS163,North Tce Dsc (1364),15429629.74,-4153194.714,bus,SA
BS164,Wellington Sq (1496),15428007.96,-4151175.759,bus,SA
BS165,North Tce Dsc (1364),15429379.49,-4153209.169,bus,SA
BS166,King William St Dsc (2008),15428836.96,-4153880.961,bus,SA
BS167,Grenfell St (2017),15429955.06,-4153554.586,bus,SA
BS168,Sturt_St (2078),15427683.01,-4154835.097,bus,SA
BS169,Sturt_St (2078),15428130.29,-4154807.793,bus,SA
BS170,Gresham St (1259),15428729.11,-4153253.409,bus,SA
BS171,Grenfell St Dsc (1257),15429004.83,-4153616.494,bus,SA
BS172,Grenfell St (2017),15429665.85,-4153541.225,bus,SA
BS173,Currie St Asc (1193),15428535.04,-4153644.336,bus,SA
BS174,Reconciliation Plaza (3334),15428909.84,-4154204.557,bus,SA
BS175,Reconciliation Plaza (3334),15428845.04,-4154209.245,bus,SA
BS176,North Tce Dsc (1364),15429135.36,-4153225.733,bus,SA
BS177,Grote St (1260),15428723.3,-4154216.006,bus,SA
BS178,California St Nth (1585),15428502.45,-4154228.95,bus,SA
BS179,King William Rd Asc (2004),15428787.7,-4151856.071,bus,SA
BS180,North Tce Dsc (1364),15428565.87,-4153263.938,bus,SA
BS181,Park 12 - Karrawirra (5125),15428827.52,-4153096.117,bus,SA
BS182,King William Rd Dsc (1300),15428788.41,-4153095.715,bus,SA
BS183,Park 12 - Karrawirra (5125),15428824.1,-4153040.636,bus,SA
BS184,King William Rd Dsc (1300),15428786.09,-4153045.478,bus,SA
BS185,Park 12 - Karrawirra (5125),15428828.99,-4153127.703,bus,SA
BS186,King William Rd Dsc (1300),15428792.87,-4153152.786,bus,SA
BS187,Melbourne St (1336),15430062.73,-4150999.613,bus,SA
BS188,Melbourne St (1336),15430064,-4151022.661,bus,SA
