stop_id,stop_name,stop_lat,stop_lon,mode,STATE CODE
3086,opp.No.11 Chifley St ,-41.46567133,147.1518811,train,TA
3016,66B Poplar Pde ,-41.48890406,147.1751769,train,TA
3673,17 Bartley St ,-41.50963757,147.0629546,train,TA
2825,86A St John St ,-41.43797103,147.1393574,train,TA
3516,13 Talbot Rd ,-41.449651,147.153286,train,TA
3263,Mowbray / Vermont Rd ,-41.406552,147.134505,train,TA
3983,North Riverside Terminus ,-41.39901187,147.0860532,train,TA
2910,Stop 14  No.116 George Town Rd,-41.38858138,147.1269022,train,TA
4107,Prospect High School ,-41.47543,147.13089,train,TA
2832,Stop 4  Invermay Rd,-41.42607518,147.1371136,train,TA
14052:1,Sacred Heart ,-41.44329172,147.132205,train,TA
3010,95 Poplar Pde ,-41.48713251,147.1782766,train,TA
3698,4 Longvista Rd ,-41.45831697,147.0766833,train,TA
3207,Hoblers Bridge Rd near Hart St ,-41.43932906,147.1671029,train,TA
3324,2 Bridge Rd ,-41.44072639,147.1295948,train,TA
3274,Opposite 32 Faraday St ,-41.42073714,147.1807237,train,TA
3214,155 Vermont Rd ,-41.40920747,147.1504083,train,TA
3611,448 Westbury Rd ,-41.4888466,147.1246601,train,TA
4401,Stop 2  Brisbane St,-41.43330831,147.143975,train,TA
2828,No.194 Charles St ,-41.44155946,147.1402786,train,TA
14117:1,Illawarra Rd / Pateena Rd ,-41.576454,147.142109,train,TA
3041,106 Bathurst St ,-41.44447216,147.137822,train,TA
3731,57 South Esk Dr ,-41.5001925,147.0689545,train,TA
3716,257 Peel St ,-41.47033122,147.1218561,train,TA
3257,2 Wildor Cres ,-41.41424438,147.161017,train,TA
4375,Home Point Pde (Royal Park) ,-41.43522174,147.1302104,train,TA
3283,Opposite 32 Pitt Ave ,-41.43109232,147.1057938,train,TA
3653,Westbury Rd / Norwich St ,-41.45826235,147.1460099,train,TA
14104:1,Cressy Rd / Green Rises Rd ,-41.67201,147.083171,train,TA
3268,4 Racecourse Cres ,-41.42994461,147.1476658,train,TA
3631,197 Poplar Pde ,-41.47953322,147.1825766,train,TA
3475,36 Salisbury Cres ,-41.456153,147.131658,train,TA
3154,Stop 19  277 Penquite Rd,-41.4606936,147.182315,train,TA
14012:1,65 Marlborough St ,-41.601267,147.120034,train,TA
2837,Stop 7  Invermay Rd,-41.41476593,147.1334699,train,TA
3614,Opposite 321 Westbury Rd ,-41.47821859,147.1270227,train,TA
3164,214 St Leonards Rd ,-41.45159218,147.1920603,train,TA
3371,Opposite 61 Hardwicke St ,-41.46679162,147.1180937,train,TA
3209,10 Hoblers Bridge Rd ,-41.44169177,147.1622658,train,TA
2860,No.9 Lawson St ,-41.3889019,147.1335282,train,TA
3676,Opposite 17 Bartley St ,-41.50949961,147.0627316,train,TA
3988,No.348 West Tamar Rd ,-41.41047671,147.097824,train,TA
2967,33 Mayne St ,-41.42061249,147.1321692,train,TA
14107:1,1 Cressy Rd ,-41.659126,147.085807,train,TA
3464,29 Lavender Gr ,-41.46568856,147.1194748,train,TA
3691,31 Panorama Rd ,-41.46353379,147.0862948,train,TA
3976,No.21 Cormiston Rd ,-41.40059609,147.0837532,train,TA
14123:1,Clarence St ,-41.568354,147.177193,train,TA
3688,Opposite 15 Main Rd ,-41.50382972,147.0679654,train,TA
2869,111 Hardwicke St ,-41.46967352,147.1224679,train,TA
2996,Stop 15  No.165 Hobart Rd,-41.46942902,147.1613437,train,TA
3647,98 South Esk Dr ,-41.498965,147.074472,train,TA
3084,No.72 Riseley St ,-41.46865525,147.1519177,train,TA
3096,42 Brisbane St ,-41.43569368,147.1412941,train,TA
14015:1,Wellington St / Smith St ,-41.591073,147.121096,train,TA
4380,Opposite Lambert St near Lennox St ,-41.41872265,147.1772583,train,TA
2946,Blackwood Dr / Waratah Rd ,-41.37463996,147.138275,train,TA
14108:1,Lot 2550 Cressy Rd ,-41.642953,147.091027,train,TA
3355,71 Frederick St ,-41.44389711,147.1340291,train,TA
2940,No. 159 Alanvale Rd ,-41.38690265,147.1155714,train,TA
3233,Opposite 55 Warring St ,-41.41266182,147.1702076,train,TA
14273:1,Sheffield Visitor Information Ce ,-41.382911,146.325218,train,TA
3702,38 Blackstone Rd ,-41.46712816,147.0816907,train,TA
3597,Chris St near Mace St ,-41.48098775,147.1289048,train,TA
3341,Opposite 35 Gorge Rd ,-41.43666008,147.1166069,train,TA
3223,Opposite 1 Blyth St ,-41.41748377,147.1748971,train,TA
2835,Stop 6  Invermay Rd,-41.41980298,147.1350529,train,TA
4067,No.31 Blaydon St ,-41.47001225,147.1569722,train,TA
3292,No.6 Pomona Road ,-41.41950151,147.1058351,train,TA
3089,Lithgow St (Sandhill Aged Care) ,-41.46065859,147.1512895,train,TA
3622,389 Westbury Rd ,-41.48618542,147.1250898,train,TA
3594,Opposite 266 Westbury Rd ,-41.47281024,147.130499,train,TA
