stop_id,stop_name,stop_lat,stop_lon,mode,state code
434, 45 Stratton Ave Stratton Ave near Baldwin Pl  ,-42.85957366,147.2777613,train,TA
512,** Stop Closed  [Acton Cr #37]   ,-42.82782858,147.2882761,train,TA
513,** Stop Closed  [Acton Cr #38]   ,-42.82676404,147.2896449,train,TA
3886,** Stop Deleted   ,-42.73426204,147.2406048,train,TA
4143,** Stop Not In Use   ,-42.85764889,147.4016466,train,TA
2221,** Stop Removed (Aug 2017)   ,-42.90080859,147.4293321,train,TA
2226,** Stop Removed (Aug 2017)   ,-42.90363443,147.4342547,train,TA
1628,1 Balaka St Balaka St Nth before Rosny Esp  ,-42.87168376,147.3528881,train,TA
2116,1 Beach Rd Beach Rd / Channel Hwy Snug  ,-43.06620686,147.2556011,train,TA
2781,1 Garnett St Garnett St before Roslyn Ave  ,-43.00225804,147.3187945,train,TA
2810,1 Kunama Dr Kunama Dr before Jindabyne Rd  ,-42.98914994,147.3230262,train,TA
436,1 Stratton Ave Stratton Ave before Girrabong Rd  ,-42.8603147,147.2792611,train,TA
12076:1,1 Victoria St   ,-42.125155,148.07696,train,TA
2789,1 Woodlands Dr Woodlands Dr before Roslyn Ave  ,-43.006109,147.318223,train,TA
2871,1/1 Ruth Dr Ruth Dr / Susan Pde  ,-42.866676,147.284805,train,TA
1833,10 Antill St Antill St/Fitzroy Cr #7 In  ,-42.89184458,147.3213349,train,TA
1689,10 Culgoa St Culgoa St past Darri St  ,-42.86127546,147.3886851,train,TA
647,10 Garfield Rd Garfield Road before Hearne Pl  ,-42.83186347,147.2548506,train,TA
466,10 Highfield St Highfield St Stop 29 Out  ,-42.85149,147.289505,train,TA
1544,100 Waverley St Waverley St before Waverley Crt Out  ,-42.87186135,147.3856961,train,TA
3418,102 Warwick St Warwick St btwn Murray & Harrington  ,-42.87912251,147.3177279,train,TA
3762,104 Roslyn Ave Roslyn Ave opp St Aloysius  ,-42.99142509,147.3241951,train,TA
649,105 Brent St Brent St opposite Hassell Pl  ,-42.83418129,147.2556986,train,TA
19018:1,1063 Cambridge Road   ,-42.8348232,147.4499338,train,TA
1011,107 Renfrew Cir Renfrew Circle Stop 30 In  ,-42.82825306,147.289935,train,TA
2144,1089 South Arm Rd South Arm Rd / School Rd Outwards  ,-42.94492168,147.4996347,train,TA
1395,1089 South Arm Rd South Arm Rd nr Morrisby Orchards  ,-42.947679,147.502117,train,TA
2174,109 Bangalee St Lauderdale Stop 90 East  ,-42.89696177,147.4965714,train,TA
1016,109 Howard Rd Howard Rd near Hornby Rd  ,-42.82716332,147.2968187,train,TA
1758,109A Derwent Ave Derwent Ave past Ambleside St  ,-42.84539371,147.3395834,train,TA
1348,11 Battersby Dr Battersby Drive In  ,-42.79978724,147.2443828,train,TA
2794,11 Beach Rd Kingston Beach Shops Out  ,-42.98147728,147.3236809,train,TA
1785,11 Byron St Byron St past Albuera St  ,-42.891309,147.325223,train,TA
967,11 Cavendish Rd Cavendish Road Stop 30 In  ,-42.85051149,147.2911427,train,TA
4342,11 Charlton St Charlton St opposite Reserve (Cygnet)  ,-43.16292667,147.0807863,train,TA
1763,11 Derwent Ave Derwent Ave Stop 25 Out  ,-42.8399912,147.3493051,train,TA
4156,11 Horsham Rd Horsham Rd out  ,-42.9014936,147.4512524,train,TA
1246,11 Leighland Rd Leighland Rd before Euston St  ,-42.78698459,147.2465564,train,TA
1744,11 Marril St Marril St past Lindwood Crt  ,-42.85608527,147.3707718,train,TA
663,11 Radcliffe Cres Radcliff Cr #34 Out  ,-42.82110108,147.2557249,train,TA
2143,11 Rifle Range Rd Rifle Range Rd before Sth Arm Rd  ,-42.93743467,147.4905685,train,TA
565,11 Third Ave Third Ave / Wylie Cres #31  ,-42.84572067,147.2843917,train,TA
1552,11 Yarram St Yarram St corner Banjorrah St  ,-42.87643489,147.4031265,train,TA
440,110 Doyle Ave Doyle Ave before Pottery Rd Out  ,-42.86710097,147.2883542,train,TA
2239,111 Rockingham Dr Rockingham Dr Stop 81  ,-42.88974089,147.4484617,train,TA
507,112 Howard Rd Howard Rd Stop 34 Out  ,-42.827038,147.296815,train,TA
2001,112 King St King St past Overell St  ,-42.89723093,147.3188435,train,TA
729,115 Marys Hope Rd Marys Hope Rd #35 Out  ,-42.82122668,147.246492,train,TA
3824,115 Pottery Rd Pottery Rd / Copley Rd  ,-42.87183927,147.2853776,train,TA
3759,116 Redwood Rd Redwood Rd outside Kingston Christian  ,-42.990457,147.307152,train,TA
1993,118 Nelson Rd Nelson Rd btwn Bends 2 & 1  ,-42.90919338,147.3275017,train,TA
2162,119 Acton Dr No.119 Acton Dr Out  ,-42.86529008,147.4697942,train,TA
15042:1,119 Arthur Hwy   ,-42.887112,147.811866,train,TA
1192,12 Danina St Danina St #43 In  ,-42.81013489,147.2462615,train,TA
1736,12 Glenelg St Glenelg St Lindisfarne  ,-42.8513828,147.3682502,train,TA
