stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
434,, 45 Stratton Ave,Stratton Ave near Baldwin Pl,-42.85957366060927,147.27776133556776,,,0,
512,,** Stop Closed  [Acton Cr #37],,-42.82782857903127,147.28827607465675,,,0,
513,,** Stop Closed  [Acton Cr #38],,-42.82676403576117,147.28964493924138,,,0,
3886,,** Stop Deleted,,-42.73426204065818,147.24060480692674,,,0,
4143,,** Stop Not In Use,,-42.85764888949574,147.40164656779547,,,0,
2221,,** Stop Removed (Aug 2017),,-42.9008085890351,147.42933208479855,,,0,
2226,,** Stop Removed (Aug 2017),,-42.90363442562988,147.43425472752008,,,0,
1628,16,1 Balaka St,Balaka St Nth before Rosny Esp,-42.87168375838234,147.35288813668393,,,0,
2116,,1 Beach Rd,Beach Rd / Channel Hwy Snug,-43.06620685950935,147.25560114852559,,,0,
2781,,1 Garnett St,Garnett St before Roslyn Ave,-43.00225803584139,147.31879454070605,,,0,
2810,,1 Kunama Dr,Kunama Dr before Jindabyne Rd,-42.98914994463971,147.323026237986,,,0,
436,,1 Stratton Ave,Stratton Ave before Girrabong Rd,-42.86031470482618,147.2792610505447,,,0,
12076:1,,1 Victoria St,,-42.125155,148.07696,,,0,
2789,,1 Woodlands Dr,Woodlands Dr before Roslyn Ave,-43.006109,147.318223,,,0,
2871,,1/1 Ruth Dr,Ruth Dr / Susan Pde,-42.866676,147.284805,,,0,
1833,7,10 Antill St,Antill St/Fitzroy Cr #7 In,-42.89184458084706,147.32133494211917,,,0,
1689,24,10 Culgoa St,Culgoa St past Darri St,-42.86127546495566,147.38868507240284,,,0,
647,,10 Garfield Rd,Garfield Road before Hearne Pl,-42.83186347333332,147.25485059916468,,,0,
466,29,10 Highfield St,Highfield St Stop 29 Out,-42.85149,147.289505,,,0,
1544,19,100 Waverley St,Waverley St before Waverley Crt Out,-42.87186134938949,147.3856961145263,,,0,
3418,,102 Warwick St,Warwick St btwn Murray & Harrington,-42.87912251226583,147.3177279076323,,,0,
3762,,104 Roslyn Ave,Roslyn Ave opp St Aloysius,-42.99142508899971,147.32419509248956,,,0,
649,,105 Brent St,Brent St opposite Hassell Pl,-42.83418128944313,147.2556985765412,,,0,
19018:1,,1063 Cambridge Road,,-42.83482320261004,147.44993375801502,,,0,
1011,30,107 Renfrew Cir,Renfrew Circle Stop 30 In,-42.82825306014805,147.28993503798128,,,0,
2144,,1089 South Arm Rd,South Arm Rd / School Rd Outwards,-42.9449216770235,147.49963470381147,,,0,
1395,,1089 South Arm Rd,South Arm Rd nr Morrisby Orchards,-42.947679,147.502117,,,0,
2174,90,109 Bangalee St,Lauderdale Stop 90 East,-42.89696176640463,147.49657143898386,,,0,
1016,34,109 Howard Rd,Howard Rd near Hornby Rd,-42.82716331952763,147.2968187307949,,,0,
1758,19,109A Derwent Ave,Derwent Ave past Ambleside St,-42.84539371269456,147.33958342729042,,,0,
1348,,11 Battersby Dr,Battersby Drive In,-42.79978723980566,147.24438275794537,,,0,
2794,,11 Beach Rd,Kingston Beach Shops Out,-42.98147728175668,147.3236809446023,,,0,
1785,,11 Byron St,Byron St past Albuera St,-42.891309,147.325223,,,0,
967,30,11 Cavendish Rd,Cavendish Road Stop 30 In,-42.8505114873224,147.29114274034714,,,0,
4342,,11 Charlton St,Charlton St opposite Reserve (Cygnet),-43.16292666875456,147.08078628744363,,,0,
1763,25,11 Derwent Ave,Derwent Ave Stop 25 Out,-42.83999119742216,147.34930512244227,,,0,
4156,,11 Horsham Rd,Horsham Rd out,-42.90149360139269,147.4512524397269,,,0,
1246,,11 Leighland Rd,Leighland Rd before Euston St,-42.78698458926027,147.24655640580298,,,0,
1744,,11 Marril St,Marril St past Lindwood Crt,-42.85608526944705,147.3707717623701,,,0,
663,41A,11 Radcliffe Cres,Radcliff Cr #34 Out,-42.82110108,147.2557249,,,0,
2143,,11 Rifle Range Rd,Rifle Range Rd before Sth Arm Rd,-42.9374346703668,147.4905684716101,,,0,
565,31,11 Third Ave,Third Ave / Wylie Cres #31,-42.84572067499249,147.2843916872667,,,0,
1552,,11 Yarram St,Yarram St corner Banjorrah St,-42.87643488868621,147.4031264854055,,,0,
440,,110 Doyle Ave,Doyle Ave before Pottery Rd Out,-42.86710097311862,147.28835423998078,,,0,
2239,81,111 Rockingham Dr,Rockingham Dr Stop 81,-42.88974088914705,147.44846168733878,,,0,
507,34,112 Howard Rd,Howard Rd Stop 34 Out,-42.827038,147.296815,,,0,
2001,12,112 King St,King St past Overell St,-42.89723092920894,147.31884350865622,,,0,
729,,115 Marys Hope Rd,Marys Hope Rd #35 Out,-42.82122668,147.246492,,,0,
3824,,115 Pottery Rd,Pottery Rd / Copley Rd,-42.87183927074494,147.285377596485,,,0,
3759,,116 Redwood Rd,Redwood Rd outside Kingston Christian,-42.990457,147.307152,,,0,
1993,16,118 Nelson Rd,Nelson Rd btwn Bends 2 & 1,-42.90919337921161,147.32750174608128,,,0,
2162,,119 Acton Dr,No.119 Acton Dr Out,-42.86529008266627,147.469794244622,,,0,
15042:1,,119 Arthur Hwy,,-42.887112,147.811866,,,0,
1192,,12 Danina St,Danina St #43 In,-42.81013489,147.2462615,,,0,
1736,,12 Glenelg St,Glenelg St Lindisfarne,-42.8513827973393,147.36825015978505,,,0,
838,,12 Plymouth Rd,Plymouth Rd / Barclay Pl,-42.746802365535,147.27447488581265,,,0,
444,,12 Ruth Dr,Ruth Dr after Jane Court Out,-42.8676674481585,147.28514347204677,,,0,
1909,6,120 Sandy Bay Rd,Sandy Bay/Quayle #6 Out,-42.892317,147.326258,,,0,
1215,,121 Allunga Rd,Allunga Rd #44 In,-42.80447981999999,147.2450506,,,0,
1419,13,125 Clarence St,Clarence St/Wentworth #13 In,-42.87612467236581,147.38747570445707,,,0,
8158,,125 Oakdowns Pde,Oakdowns Pde In (s),-42.89977319,147.4567241,,,0,
4158,,125 Oakdowns Pde,[NB4] OAKDOWNS PDE IN,-42.89977318587167,147.45672409797444,,,0,
11102:1,,126 Summerleas Rd,,-42.971586,147.293218,,,0,
1490,26,126 Tranmere Rd,Tranmere Rd/Glamorgan #26 Out,-42.89976937840464,147.41351118617249,,,0,
1240,41,127 Main Rd,Main Rd Stop 41 In,-42.781383,147.252356,,,0,
1463,,128 Acton Dr,No.128 Acton Dr,-42.8652251484963,147.46978444392428,,,0,
4177,,128 Axiom Way,Axiom Way/Cahill Pl In,-42.87686077455546,147.49033176355567,,,0,
3761,,128 Roslyn Ave,Roslyn Ave past Mirramar Park,-42.99382298810702,147.32404850336135,,,0,
1393,,1285 South Arm Rd,South Arm Rd opp Honeywood Dr,-42.95964108197679,147.50492490569786,,,0,
1102,,12A Seventh Ave,Seventh Ave / Beverley Grove,-42.84784061710341,147.28316212490688,,,0,
2160,,13 Acton Dr,Acton Dr/Acton Rd Out,-42.86002151106375,147.47335367592498,,,0,
4326,,13 Bruny St,SCHOOL STOP Bruny Street Warrane,-42.86388767526609,147.37428354050877,,,0,
706,,1-3 Cadbury Rd,Cadbury Rd (W'mere PS) #48 Out,-42.79777497,147.2557027,,,0,
