stop_id,stop_name,stop_lat,stop_lon,mode,state_code
306549,Royal Brisbane Hospital Stop 8 IB ,-27.467834,153.019079,bus,VIC
306550,Kedron Brook Stop 3 ,-27.468095,153.018744,bus,VIC
306547,GREGORY / ANDERSON ,-27.467009,153.023393,bus,VIC
306512,COSTIN / GREGORY ,-27.463306,153.028396,bus,VIC
306524,Gregory Terrace - 10 ,-27.462917,153.030586,bus,VIC
306558,Gregory Terrace - 9 ,-27.464013,153.029154,bus,VIC
306559,Gregory Terrace - 8 ,-27.466105,153.026494,bus,VIC
300073,Truro St Stop ,-27.466487,153.026002,bus,VIC
306560,Gregory Terrace - 6 ,-27.467273,153.02496,bus,VIC
306561,Torrington Street - 5 ,-27.468003,153.02397,bus,VIC
306573,Brisbane Grammar - 4 ,-27.468816,153.022942,bus,VIC
306558,Brisbane Grammar - 4 ,-27.465444,153.027343,bus,VIC
701393,Truro St  Stop ,-27.468844,153.022902,bus,VIC
306585,Torrington Street - 5 ,-27.469951,153.022993,bus,VIC
306582,Gregory Terrace - 6 ,-27.469777,153.023218,bus,VIC
307257,St Josephs - 7 ,-27.469404,153.023745,bus,VIC
306580,Federation St Stop ,-27.469016,153.024221,bus,VIC
307255,Gregory Terrace - 8 ,-27.468528,153.024827,bus,VIC
307263,Gregory Terrace - 9 ,-27.468397,153.024996,bus,VIC
306591,Gregory Terrace - 7 ,-27.467987,153.025522,bus,VIC
306589,Gregory Terrace - 7 ,-27.467856,153.025689,bus,VIC
306594,Clarks & Mt Gravatt ,-27.46728,153.026411,bus,VIC
306595,Federation St Stop ,-27.467191,153.026526,bus,VIC
306598,Boundary Street - 3 ,-27.465899,153.02819,bus,VIC
306600,Fortescue Street - 2 ,-27.465718,153.028426,bus,VIC
306521,Bus Control Centre ,-27.464681,153.029766,bus,VIC
306546,Holland Park High - 62 ,-27.463215,153.031476,bus,VIC
307520,GOTHA / WICKHAM ,-27.466376,153.027913,bus,VIC
,Flynn Street - 65 ,-27.46463,153.030049,bus,VIC
307137,Dobbs Street - 63 ,-27.464875,153.029731,bus,VIC
307138,Flynn Street - 65 ,-27.465965,153.028321,bus,VIC
306599,Holding Stand - Bus Control ,-27.466093,153.028155,bus,VIC
306597,Gaza Road - 64 ,-27.466917,153.027094,bus,VIC
306596,Gaza Road - 64 ,-27.467224,153.026699,bus,VIC
,Brisbane Grammar - 4 ,-27.466977,153.027017,bus,VIC
306590,Water Street - 6 ,-27.468007,153.025681,bus,VIC
306593,Water Street - 6 ,-27.468609,153.024908,bus,VIC
307139,Buranda ,-27.468355,153.025234,bus,VIC
307178,Buranda ,-27.46876,153.024712,bus,VIC
307258,ALFRED / BRUNSWICK ,-27.469142,153.02422,bus,VIC
306588,McConnell Street ,-27.469311,153.024003,bus,VIC
306586,St Pauls Terrace - 5 ,-27.469688,153.023517,bus,VIC
306584,Water Street - 5 can stay possible future use ,-27.469846,153.02335,bus,VIC
306585,O'Keefe Street ,-27.470016,153.023096,bus,VIC
701642,O'Keefe Street ,-27.462957,153.031931,bus,VIC
,Leichhardt Street - 1 ,-27.4724014,153.0269999,bus,VIC
,Leichhardt Street - 1 ,-27.470912,153.0272,bus,VIC
,Leichhardt Street - 2 ,-27.470568,153.027645,bus,VIC
,Leichhardt Street - 2 ,-27.470619,153.027566,bus,VIC
,Wickham Terrace - 3 ,-27.467529,153.027859,bus,VIC
306619,Wickham Tce @ Bradley St (St 640) ,-27.467841,153.027454,bus,VIC
306620,Wickham Terrace - 3A ,-27.467778,153.027536,bus,VIC
306621,Roma St Parklands City Sights ,-27.467447,153.027965,bus,VIC
300074,Little Edward Street - 1 ,-27.467209,153.02827,bus,VIC
306603,Vernon Terrace - 15 ,-27.466731,153.028884,bus,VIC
307522,Vernon Terrace - 15 ,-27.466047,153.029764,bus,VIC
,Mercantile Place - 14 ,-27.467141,153.029943,bus,VIC
,Mercantile Place - 14 ,-27.466944,153.02999,bus,VIC
,Gibbon Street - 10 ,-27.466524,153.030112,bus,VIC
,James Street - 10 ,-27.466296,153.030171,bus,VIC
,Chester Street - 11 ,-27.463913,153.031367,bus,VIC
