 stop_id, stop_name, stop_lat, stop_lon,mode,state code
10000,Albany Hwy After Armadale Rd,-32.1479055,116.0201958,bus,WA
10001,Albany Hwy After Frys L,-32.14495377,116.0183152,bus,WA
10002,Albany Hwy After Clarence Rd,-32.14203815,116.017221,bus,WA
10003,Albany Hwy After Rogers L,-32.13911389,116.0173822,bus,WA
10004,Albany Hwy After Galliers Av,-32.13649428,116.017609,bus,WA
10005,Albany Hwy Armadale Kelmscott Hospital,-32.13356722,116.0177633,bus,WA
10006,Albany Hwy After Lilian Av,-32.13039701,116.0180598,bus,WA
10007,Albany Hwy After Valentine Rd,-32.12777835,116.0183211,bus,WA
10008,Albany Hwy After Foster Rd,-32.12359027,116.017888,bus,WA
10009,Albany Hwy After Church St,-32.1190149,116.0169988,bus,WA
10010,Albany Hwy After Davis Rd,-32.11655,116.0158728,bus,WA
10011,Albany Hwy - Kelmscott Stargate Shopping Ctr,-32.11289778,116.0138044,bus,WA
10012,Albany Hwy After Page Rd,-32.11007439,116.0128425,bus,WA
10013,Albany Hwy After Turner Pl,-32.10823889,116.0126283,bus,WA
10015,Albany Hwy After Centre Rd,-32.10226909,116.0120417,bus,WA
10016,Albany Hwy Before Lake Rd,-32.09867722,116.012625,bus,WA
10017,Albany Hwy After Lake Rd,-32.09529722,116.0131733,bus,WA
10019,Albany Hwy After Tonkin Hwy,-32.08649342,116.0116796,bus,WA
10020,Albany Hwy After Manning Av,-32.08464465,116.0112958,bus,WA
10021,Albany Hwy After Ferres Dr,-32.08086667,116.0102767,bus,WA
10022,Albany Hwy Before Verna Street,-32.07834,116.0085456,bus,WA
10023,Albany Hwy Before Clara St,-32.07625958,116.0068117,bus,WA
10024,Albany Hwy After Gerald St,-32.07366278,116.0042978,bus,WA
10025,Albany Hwy After Dorothy St,-32.07149504,116.0016418,bus,WA
10026,Albany Hwy After Main St,-32.06942614,115.9995293,bus,WA
10027,Albany Hwy After Gosnells Rd,-32.06219556,115.9977278,bus,WA
10028,Albany Hwy Before Pitchford Av,-32.06105981,115.9964242,bus,WA
10029,Albany Hwy After Helm St,-32.05867849,115.993493,bus,WA
10030,Albany Hwy Before The Crescent,-32.05744556,115.9917617,bus,WA
10031,Albany Hwy After River Av,-32.05547989,115.9890851,bus,WA
10032,Albany Hwy Before Dalziell St,-32.05396477,115.9873068,bus,WA
10034,Albany Hwy After The Strand,-32.05064196,115.9827271,bus,WA
10035,Albany Hwy After Herbert St,-32.04911214,115.9788102,bus,WA
10036,Albany Hwy After Kenwick Link,-32.04579833,115.9745561,bus,WA
10037,Albany Hwy After Ozich Ct,-32.0440738,115.9734595,bus,WA
10038,Albany Hwy Before Liddelow St,-32.04191389,115.9719906,bus,WA
10039,Albany Hwy After Cooper Av,-32.03911097,115.9701243,bus,WA
10040,Albany Hwy After Royal St,-32.03604214,115.9679742,bus,WA
10041,Albany Hwy After Roe Hwy,-32.03182389,115.9639472,bus,WA
10042,Albany Hwy After Harris St,-32.02874783,115.9580428,bus,WA
10043,Albany Hwy After Beckenham St,-32.02819222,115.9539744,bus,WA
10044,Albany Hwy After Clapham St,-32.02785731,115.9516528,bus,WA
10045,Albany Hwy Before Highbury Cr,-32.02735833,115.9475561,bus,WA
10047,Albany Hwy After Nicholson Rd,-32.02639833,115.9432444,bus,WA
10048,Albany Hwy Before River Rd,-32.02532855,115.9416016,bus,WA
10049,Albany Hwy After Liege St,-32.02210956,115.9381251,bus,WA
10050,Albany Hwy - Carousel Shopping Ctr,-32.01921469,115.93557,bus,WA
10051,Albany Hwy After Mason St,-32.017205,115.9329717,bus,WA
10052,Albany Hwy After Wharf St,-32.01617464,115.9303197,bus,WA
10053,Albany Hwy After Manning Rd,-32.01248444,115.9270084,bus,WA
10054,Albany Hwy After Hamilton St,-32.0106212,115.9256582,bus,WA
10055,Albany Hwy After Burton St,-32.00877535,115.9243292,bus,WA
10056,Albany Hwy After Leach Hwy,-32.00659598,115.9229184,bus,WA
10057,Albany Hwy After Bedford St,-32.00370672,115.9204896,bus,WA
10058,Albany Hwy After Coolgardie St,-32.00060684,115.9178428,bus,WA
10059,Albany Hwy After Walpole St,-31.9981023,115.9157958,bus,WA
10060,Albany Hwy After Boundary Rd,-31.99575389,115.9140211,bus,WA
10062,Shepperton Rd After Somerset St,-31.98859149,115.9101658,bus,WA
10063,Shepperton Rd Before Dane St,-31.9862202,115.9086094,bus,WA
10064,Shepperton Rd After Mint St,-31.98189388,115.9057315,bus,WA
10065,Shepperton Rd Before Miller St,-31.979166,115.9039138,bus,WA
10066,Shepperton Rd After Gresham St,-31.97644222,115.901425,bus,WA
10067,Shepperton Rd After Axon Av,-31.97470145,115.8997574,bus,WA
10068,Shepperton Rd Before Harper St,-31.97159556,115.8966311,bus,WA
10069,Shepperton Rd Before Rushton St,-31.97056021,115.8950215,bus,WA
10070,Victoria Park Transfer Stn Stand E,-31.96828833,115.8889467,bus,WA
10071,Adelaide Tce Westend Causeway,-31.96156456,115.8767979,bus,WA
10072,Adelaide Tce After Plain St,-31.96059116,115.8739112,bus,WA
10073,Adelaide Tce After Bennett St,-31.95949833,115.8706433,bus,WA
10074,Adelaide Tce After Hill St,-31.95822063,115.866641,bus,WA
10075,St Georges Tce Stand M (After Victoria Av),-31.95733611,115.8642533,bus,WA
10076,St Georges Tce Stand N (After Victoria Av),-31.95727556,115.8640761,bus,WA
10078,St Georges Tce Stand O P (After Irwin St),-31.95665243,115.8621569,bus,WA
10079,St Georges Tce Stand R S (After Irwin St),-31.95658362,115.8619382,bus,WA
10080,St Georges Tce Stand T (Before Barrack St),-31.95629658,115.8610526,bus,WA
10081,St Georges Tce Stand M (Before Barrack St),-31.95618413,115.8607352,bus,WA
10082,St Georges Tce Stand N (Before Barrack St),-31.95597761,115.860102,bus,WA
10083,St Georges Tce Stand O (After Barrack St),-31.95558005,115.8589309,bus,WA
10084,St Georges Tce Stand P (After Barrack St),-31.95553007,115.8587792,bus,WA
10085,St Georges Tce Stand R S (After Sherwood Ct),-31.95536242,115.8582723,bus,WA
10086,St Georges Tce Stand T (After Sherwood Ct),-31.95527506,115.8580025,bus,WA
10087,St Georges Tce Stand M (Before Howard St),-31.95521255,115.8578023,bus,WA
10088,St Georges Tce Stand Nop (Before William St),-31.95492136,115.8569215,bus,WA
10089,St Georges Tce Stand R (After William St),-31.95422534,115.8547178,bus,WA
10090,St Georges Tce Stand S (After William St),-31.95416038,115.8545198,bus,WA
10091,St Georges Tce Mill St Green Cat 2,-31.95338722,115.8521689,bus,WA
10092,St Georges Tce Milligan St Green Cat 3,-31.95277144,115.8501784,bus,WA
10093,Malcolm St Harvest Tce Green Cat 4,-31.95303335,115.8474694,bus,WA
10094,Kings Park Rd Havelock St Green Cat 5,-31.95377005,115.8429707,bus,WA
10095,Kings Park Rd Before Colin St,-31.95292778,115.8404344,bus,WA
10096,Kings Park Rd Before Outram St,-31.9522207,115.8382646,bus,WA
10097,Kings Park Rd Before Walker Av,-31.951595,115.8363533,bus,WA
10098,Kings Park Rd Before Thomas St,-31.95100642,115.8345504,bus,WA
